Entertainer,Gender,Birth_Year,Year_of_Breakthrough_or_Hit_or_Award_Nomination,Breakthrough_Name,Year_of_First_Award,Year_of_Last_Major_Work,Year_of_Death,Occupation,First_Award,Total no of Nominations,Total Awards won,Oscar Won,Grammy Won,Emmy Won,Other Awards ,Photo
Charlie Chaplin,M,1889,1915,The Tramp,1929,1967,1977,Comedian,Oscar,11,26,1,0,0,25,https://upload.wikimedia.org/wikipedia/commons/3/34/Charlie_Chaplin_portrait.jpg
Clara Bow,F,1905,1926,Mantrap,1929,1933,1965,Actress,Oscar,1,1,0,0,0,1,https://upload.wikimedia.org/wikipedia/commons/thumb/2/26/ClaraBow2.1.jpg/220px-ClaraBow2.1.jpg
Clark Gable,M,1901,1934,It Happened One Night,1934,1960,1960,Actor,Oscar,6,4,1,0,0,3,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/Clark_Gable_-_publicity.JPG/320px-Clark_Gable_-_publicity.JPG
David Letterman,M,1947,1982,Late Night with David Letterman,1981,2015,"
",Host,Emmy,50,6,0,0,7,1,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b7/David_Letterman_with_his_Individual_Peabody_at_the_75th_Annual_Peabody_Awards_%28cropped%29.jpg/320px-David_Letterman_with_his_Individual_Peabody_at_the_75th_Annual_Peabody_Awards_%28cropped%29.jpg
Debbie Reynolds,F,1932,1952,Singin' in the Rain,1956,2006,2016,Actress,National Board Of Review,38,20,0,0,0,20,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0f/Debbie_Reynolds_6_Allan_Warren.jpg/320px-Debbie_Reynolds_6_Allan_Warren.jpg
Denzel Washington,M,1954,1989,Glory,1989,2016,"
",Actor,Oscar,208,87,2,0,0,85,https://upload.wikimedia.org/wikipedia/commons/thumb/4/40/Denzel_Washington_2018.jpg/320px-Denzel_Washington_2018.jpg
Dick Van Dyke,M,1925,1961,"Bye Bye Birdie, The Dick Van Dyke Show",1964,2015,"
",Actor,Grammy,20,21,0,1,5,15,https://upload.wikimedia.org/wikipedia/commons/thumb/9/93/Dick_Van_Dyke_by_Gage_Skidmore.jpg/320px-Dick_Van_Dyke_by_Gage_Skidmore.jpg
Donald Sutherland,M,1935,1967,The Dirty Dozen,1995,2016,"
",Actor,Emmy,32,22,0,0,1,21,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1d/Donald_Sutherland_%28cropped%29.JPG/220px-Donald_Sutherland_%28cropped%29.JPG
Dustin Hoffman,M,1937,1967,The Graduate,1979,2016,"
",Actor,Oscar,54,64,2,0,2,60,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/Dustin_Hoffman_Cannes.jpg/220px-Dustin_Hoffman_Cannes.jpg
Ed Sullivan,M,1901,1948,Toast of the Town,1956,1973,1974,Host,Golden Globe,0,3,0,0,0,3,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ea/Ed_Sullivan.jpg/220px-Ed_Sullivan.jpg
